DPMP,irca.2016,fake.irca,pob.2016,rural.2016,ing.2016
8520,35.405833,5,25484,0.024996076,15674.70035
8549,0,7,5150,0.522718447,4392.765993
8558,0,6,15407,0.178814824,16529.96352
8560,4.017894,3,22581,0.494752225,21450.16303
8573,0,8,26989,0.166104709,80657.40838
8606,38.308115,10,26439,0.320473543,20078.763
8634,1.415384,1,32332,0.031887913,19588.98193
8638,46.5759,2,99246,0.17794168,60410.873
8675,25.42,5,11492,0.042725374,12350.078
8685,0,6,25449,0.034775433,20239.302
8758,0,7,632183,9.24E-04,454907.114
8770,10.016842,8,8664,0.03589566,15007.385
8832,17.986428,10,11024,0.406930334,10227.30589
8849,0,4,9434,0.107695569,9372.5668
11001,7.227548,1,7980001,0.002082957,13638610.23
13001,0,1,1013389,0.041244774,1476150.344
13006,47.207894,5,23451,0.821201655,26714.044
13030,77.07,1,13946,0.400043023,17945.28458
13042,53.275454,3,19302,0.724691742,14191.567
13052,4.565555,6,73891,0.213882611,65110.40992
13062,,10,10038,0.325164375,14172.13752
13074,24.7008,10,18095,0.651616469,22228.486
13140,28.293333,2,23609,0.433944682,28916.146
13160,23.116111,10,9393,0.522516768,28476.618
13188,37.516956,7,11124,0.318500539,23017.159
13212,69.262,5,12389,0.750827347,18075.213
13222,61.004166,3,12653,0.158065281,19210.849
13244,0,1,76051,0.201746197,66130.681
13248,52.674,8,7770,0.436293436,9946.125
13268,9.206153,1,9694,0.58654838,10864.7
13300,15.369333,7,12043,0.708295275,16026.192
13430,12.5,10,123833,0.305742411,181702.1347
13433,32.835853,7,26126,0.617775396,22024.64264
13440,82.275,10,9966,0.823399558,16108.375
13442,52.43375,3,48439,0.555750532,35564.065
13458,30.555555,9,21742,0.47530126,11619.378
13468,43.030588,5,44460,0.412123257,39411.07
13473,72.0545,1,21501,0.723547742,17173.93
13490,53.8875,7,5177,0.591269075,9171.759
13549,42.064,6,25186,0.892202017,29535.70714
13580,22.13,4,10682,0.573207265,11710.723
13600,32.2235,10,18371,0.471885036,15827.625
13620,42.31375,3,6694,0.157753212,11719.838
13647,10.051875,10,16369,0.262386218,19717.653
13650,67.733125,1,13846,0.786508739,18711.818
13654,,6,21570,0.032127955,33188.036
